month,posts,likes,avg_likes
2026-02,4,317,79
2026-01,5,330,66
2025-12,8,614,77
2025-11,9,372,41
2025-10,25,3375,135
2025-09,9,1221,136
2025-08,11,504,46
2025-07,8,434,54
2025-06,14,1879,134
2025-05,4,439,110
2025-04,2,190,95
2025-03,7,403,58
2025-02,1,86,86
2025-01,8,921,115
2024-12,6,723,121
2024-11,7,1680,240
2024-10,8,8411,1051
2024-09,2,483,242
2024-08,4,213,53
2024-07,14,1209,86
2024-06,4,890,223
2024-05,2,935,468
2024-04,20,3579,179
2024-03,9,410,46
2024-02,12,613,51
2024-01,1,55,55
2023-12,8,4306,538
2023-11,10,662,66
2023-10,12,699,58
2023-09,3,511,170
2023-08,13,3256,250
2023-07,18,2990,166
2023-06,13,1669,128
2023-05,14,1382,99
2023-04,14,1723,123
2023-03,11,946,86
2023-02,13,903,69
2023-01,8,638,80
2022-12,13,826,64
2022-11,11,724,66
2022-10,11,641,58
2022-09,13,682,52
2022-08,16,4717,295
2022-07,9,696,77
2022-06,13,824,63
2022-05,11,1163,106
2022-04,6,1363,227
2022-03,2,189,95
2022-02,4,354,89
2022-01,1,102,102
