year,posts,total_likes,avg_likes,top_likes,top_code,comments,photos,videos,carousels
2026,9,647,72,208,DVIkmyaDxK4,101,0,3,6
2025,106,10438,98,1065,DQNKC5JEyVo,976,14,43,49
2024,89,19201,216,3992,DBMl_xbO26T,761,8,47,34
2023,137,19685,144,3694,C0ck_6Vvvrc,679,20,75,42
2022,110,12281,112,3997,ChuuSvnKC9f,565,37,50,23
2021,10,1500,150,233,CQrIXrblp11,131,2,5,3
2020,32,11554,361,915,CAtuKrnB9eO,249,23,3,6
2019,43,8063,188,561,Bs3eUV1BbFz,389,34,3,6
2018,41,10222,249,1013,BnRufWfhSny,246,20,0,21
2017,56,26316,470,1080,BPL5Q8NgLTT,1485,48,1,7
2016,167,49921,299,1501,BLjS-BZAGxF,870,159,8,0
2015,203,5714,28,81,-fMcdtm80q,240,196,7,0
2014,21,510,24,39,u3RBaYG82k,23,20,1,0
2013,56,1076,19,44,etFtjPG89a,37,52,4,0
2012,27,328,12,31,TuZ7y8G856,26,27,0,0
